Startup,Institution,Funds,Alive?,URLs
Dfly Systems (fmr Dragonfly Systems),,300000,,['Awardee Reporting']
Stirling Innovations,,1000,,['']
iVEG,,0,,['']
Envirohaven,,35000,,['']
MemPrint Dynamics,,5000,,['http://www.innovationews.com/blue-ocean/memprint-dynamics-uses-new-technology-to-double-life-of-ultrafiltration-membranes/']
CLEW Systems LLC,,2600000,,['Awardee Reporting']
Biodomes Inc.,,0,,['']
DSP,,0,,['']
CrystalE,,0,,['']
e-Electricity,,8000,,['https://www.facebook.com/ElectricityUnplugged/info/?tab=page_info']
MF Fire (frm Mulciber Stoves),,100000,,['http://mffire.com/']
CoolComposites (fmr CoolFlux),,35000,,['http://www.renewableenergyworld.com/articles/2015/06/mit-clean-energy-prize-awards-400000-to-energy-efficiency-renewable-ventures.html']
Copula Design Concept for Wind Energy,,0,,['']
Root3 Tech,,1000000,,['Awardee Reporting']
OptimEV,,5000,,['https://www.cmich.edu/colleges/cba/alumni/exchange/Documents/Exchange_Summer2013.pdf']
Eeme,,150000,,['Awardee Reporting']
Building Robotics,,6640000,,"['https://www.crunchbase.com/organization/building-robotics#/entity', 'Awardee Reporting']"
Northern Aquaponics,,10000,,['https://blogs.mtu.edu/business/2013/03/29/tech-students-win-20500-at-new-venture-competition/']
Meter Genius,,25000,,['http://www.businesswire.com/news/home/20140404005733/en/Clean-Energy-Challenge-Awards-100000-Grand-Prizes']
ATS Motors,,0,,['']
polySpectra,,2500,,['http://rawwerks.com/2013-sisca-award/']
GreenT,,0,,['']
Signal Techtronics,,5000,,['']
Arbor Solar Technologies,,6518,,['Awardee Reporting']
Advanced Farms,,0,,['']
Arborlight,,0,,['']
Atlas Energy Systems,,10000,,['https://www.linkedin.com/in/joshuadauger']
IDIAS-BioEnergy,,0,,['']
PolymerGreen,,5000,,['http://bostinno.streetwise.co/all-series/winners-of-the-2013-mit-ideas-global-challenge/']
GreenStar,,0,,['']
GreenAnalytix,,0,,['']
Batterade,,0,,['']
Potluck Energy,,0,,['']
Saaf Engineering,,3000,,['http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=1366']
Achene Bio,,0,,['']
Visolis,,500000,,['http://www.cyclotronroad.org/visolis/']
ReGenerate Solutions,,100000,,['Awardee Reporting']
501Carbon,,10000,,['']
Biofuel Ecosystems,,0,,['']
Dynamo Micropower,,30000,,"['Awardee Reporting, http://www.necec.org/member-news-details/dynamo-micropower-selected-for-surge-accelerator-startup-program.html']"
Carbon Recycling Corporation,,0,,['']
Midwest Biofuels Analytica,,0,,['']
Navillum,,150000,,['Awardee Reporting']
Drinkwelll,,100000,,['http://www.bizjournals.com/boston/blog/startups/2014/10/meet-the-startup-winners-of-the-2014-masschallenge.html?page=all']
EVStation,,0,,['']
Surya Conversions,,10000,,['http://teamboulder.org/2015/12/uptake-esprit-venture-challenge-propels-startup-social-entrepreneurs/']
Spinnergy,,0,,['']
GTRACK Technologies,,200,,"['http://pennvention.io/news, http://www.thedp.com/article/2015/04/bionux-reaches-for-first-at-2015-pennvention']"
Effimax Solar,,150000,,['Awardee Reporting']
e1e2,,0,,['']
Cool and Clear Solar,,0,,['']
ReCraft,,0,,['']
NanoSyth,,0,,['']
Agira Photonics,,0,,['']
BioRecyClean,,0,,['']
Building Energy Efficiency Mapping (BEEMS),,0,,['']
Optimum Cooling Solutions (OCS),,0,,['']
Lost Joules,,0,,['']
Hollow Core Wind Turbine Generator,,0,,['']
Power-by-Nano,,0,,['']
Ayar Labs (fmr OptiBit),,200000,,['http://news.mit.edu/2015/optical-chips-clean-energy-prize-0513']
Power Trip,,0,,['']
Lucelo Technologies,,0,,['']
Advano,,75000,,['https://www.facebook.com/advanotech/timeline?ref=page_internal']
Glass Tube Recycling,,0,,['']
SioTeX Corporation,,10000,,['http://sio-tex.com/news.html']
E-Rescue,,0,,['']
Safire,,17500,,['http://cep.mit.edu/content/mit-clean-energy-prize-announces-2015-winners']
Bit Harmonics,,500,,['Awardee Reporting']
Torch Hybrid Marine,,0,,['']
REEcycle,,150000,,['http://www.reecycleinc.com/coverage/']
UM Waste to Energy Project,,0,,['']
Invisergy,,10000,,['https://web.archive.org/web/20140813011153/http://www.thedp.com/article/2012/07/business-competitions-give-startups-a-boost']
CalWave (fmr Caltech Laboratory for Energy and Water),,500000,,['Cylotron Road']
Greenshields,,10000,,['https://www.linkedin.com/in/jonnycohen']
CH5,,0,,['']
Inviroment,,100000,,['Awardee Reporting']
Water & Environmental Technologies,,0,,['']
Fluency Lighting Technologies,,50000,,['http://www.nsf.gov/awardsearch/showAward?AWD_ID=1549853&HistoricalAwards=false']
plugSTRATE,,1000,,['https://medium.com/@nycmedialab/nyc-media-lab-annual-summit-2015-aed9ec35a89b#.teh1nq8aw']
Lyxia,,18700000,,['www.lyxia.com']
Kanoot,,5000,,['http://globalchallenge.mit.edu/news/view/369']
Carbonility,,0,,['']
Re:Wind,,0,,['']
Sparkfull,,0,,['']
Aeolus Building Efficiency,,20000,,['http://www.bu.edu/today/2013/bu-team-takes-a-first-at-mit-clean-energy-competition/']
Agribotix,,1350000,,['Awardee Reporting']
Thermovolt Solar,,25000,,['http://cep.mit.edu/cep/2014/content/2014-grand-prize-showcase-awards-success']
conDUCT Solutions,,0,,['']
Team A.C.,,0,,['']
SmartSave,,0,,['']
Earth Starter,,107500,,['Awardee Reporting']
Greenbotics,,200000,,['Awardee Reporting']
Plasmonic Energy,,0,,['']
Vimana,,0,,['']
NexTint,,35000,,['']
Refrackt,,10000,,['']
EnVIV,,0,,['']
Applied Particle Technology,,223865,,['http://www.nsf.gov/awardsearch/showAward?AWD_ID=1549666&HistoricalAwards=false']
NGen Corporation,,131000,,['Awardee Reporting']
Mesdi Systems,,92500,,['Awardee Reporting']
SOFI Automotive,,0,,['']
Akiba Cooking Solutions (Akiba Energy Solutions),,600,,['http://seismos.com/2013-rice-business-plan-competition-awards-1-5-million-and-crowns-world-champion/']
A2B Bikeshare,,25000,,['']
Nusku Energy Applications,,0,,['']
Raja Systems,,75000,,['http://masschallenge.org/files/2013-10-30_AC-Release_0.pdf']
AutoPilot,,0,,['']
Granular Systems,,0,,['']
EcoAssists,,0,,['']
Integrated Power Technologies Corp.,,0,,['']
"EcoLight (fmr House Inc., Cirquility)",,250000,,['Awardee Reporting']
Carbon Origins,,10000,,['http://cwru-daily.com/news/student-startup-carbon-origins-took-third-at-first-blackstone-launchpad-demo-day/']
BioAdhesive Alliance,,225000,,['Awardee Reporting']
DATTUS (fmr Bearing Analytics),,100000,,['Awardee Reporting']
SolidEnergy,,4500000,,['Awardee Reporting']
Daycasters,,0,,['']
Future Tech Farm,,18000,,['Venturewell AgTech Accelerator']
Opus 12 (fmr Obtainium),,500000,,['']
Envir Energy,,0,,['']
Precision Water,,0,,['']
Ceres Biofuels,,0,,['']
Boom Algae (fmr Superior Ecotech),,10000,,"['Awardee Reporting, http://legacy.9news.com/story/money/business/2014/06/24/boulder-cleantech-company/11302969/']"
Oxy-Zn,,0,,['']
Advanced Renewable Technology International (ARTi),,0,,['']
Pyro-E,,1100000,,['Awardee Reporting']
Sistine Solar,,1000000,,['http://www.prweb.com/releases/solarskin/beautifullysustainable/prweb13091176.htm']
Picasolar,,1200000,,['Awardee Reporting']
Chai Energy,,900000,,['https://www.crunchbase.com/organization/chai-energy#/entity']
Effuelent,,40000,,['http://www.uc.edu/news/NR.aspx?id=18528']
NextPotential,,48000,,['https://i3connect.com/company/nextpotential']
Wavve,,16500,,['http://bauerticker.uh.edu/recognition/undergraduates-win-30000-in-awards-at-rice-tcu-business-plan-competitions/']
Takachar,,10000,,['http://takachar.blogspot.com/2013/04/takachar-emerges-second-in-walmarts.html']
uLink,,25000,,['http://cep.mit.edu/cep/2014/content/2014-grand-prize-showcase-awards-success']
IOMI Technologies,,3000,,['Awardee Reporting']
Agogy,,0,,['']
MuTherm,,5000,,['']
Elegus Technologies,,50000,,['https://www.research.gov/research-portal/appmanager/base/desktop;jsessionid=6bVnJZlb1YJv3pGNV66ZPXNZ18Mjct2sbTcp6YhRxF1WxPFckyn8!409253227!-342394589?_nfpb=true&_windowLabel=rsrRecentAwards_2&wsrp-urlType=blockingAction&wsrp-url=&wsrp-requiresRewrite=&wsrp-navigationalState=eJyLL07OL0i1Tc-JT0rMUYNQtgBZ6Af8&wsrp-interactionState=wlprsrRecentAwards_2_action%3DviewRsrDetail%26wlprsrRecentAwards_2_fedAwrdId%3D1464101&wsrp-mode=wsrp%3Aview&wsrp-windowState=']
NuMat Technologies,,6710000,,"['http://www.builtinchicago.org/2015/04/15/northwestern-born-startups-score-half-available-funding-clean-energy-challenge', 'https://www.crunchbase.com/organization/numat-technologies#/entity', 'https://www.crunchbase.com/organization/numat-technologies#/entity', 'https://www.crunchbase.com/organization/numat-technologies#/entity']"
CinderBio,,150000,,['']
SMoL Fuel Cells,,0,,['']
Solutions,,1100000,,['Awardee Reporting']
Green Coal,,1000,,['']
Navi-Chem,,10000,,['http://www.studyranger.com/en/news/19787']
NetEnergy,,0,,['']
NanoHarv Technologies,,500,,['Awardee Reporting']
Imagine Labs,,10000,,['']
Superior AquaSystems (fmr Superior Aqua Culture Systems),,5000,,['']
Current Tidal,,1000,,['https://www.linkedin.com/in/jonathandiclemente']
Fuellent Energy Solutions,,0,,['']
Adnoviv,,0,,['']
SafeLiCell,,15000,,['']
Hydraulic Wind Power,,0,,['']
Transtorage,,0,,['']
Amplified Wind Solutions,,1100000,,['Awardee Reporting']
DF Tech,,100000,,['Awardee Reporting']
Effortless Energy,,100000,,['Awardee Reporting']
Genius Buildings,,0,,['']
EcoSpinners,,0,,['']
Radiator Labs,,250000,,['http://www.verizonwireless.com/news/article/2015/02/5-questions-for-radiator-labs-ceo-marshall-cox.html']
EnerLeap (fmr EnerLeap),,50000,,['Awardee Reporting']
AMPY (fmr myPower),,309000,,['Awardee Reporting']
Stef Gen,,10000,,['']
Innsystec,,33009,,['http://www.gruenderwettbewerb.de/preistraeger/preistraeger/runde-1-2015']
BrewCovery,,30000,,['Awardee Reporting']
Solar Still,,0,,['']
Axiom Exergy,,1000000,,['Awardee Reporting']
CW Inc.,,0,,['']
